what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1305151031693
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1305151035056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305151041193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305151047052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305151052743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305151054209
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305151054311
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1305151054538
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1305151054566
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1305151054567
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1305151054568
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1305151054568
